40

pkt_rate: 6000, sent_num: 100, recv_num: 47
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 38
pkt_rate: 6000, sent_num: 100, recv_num: 84
pkt_rate: 6000, sent_num: 100, recv_num: 31
pkt_rate: 6000, sent_num: 100, recv_num: 74
pkt_rate: 6000, sent_num: 100, recv_num: 90
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 99
pkt_rate: 6000, sent_num: 100, recv_num: 92
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 93
pkt_rate: 6000, sent_num: 100, recv_num: 77
pkt_rate: 6000, sent_num: 100, recv_num: 27
pkt_rate: 6000, sent_num: 100, recv_num: 98
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 87
pkt_rate: 6000, sent_num: 100, recv_num: 26
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 26
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 35
pkt_rate: 6000, sent_num: 100, recv_num: 53
pkt_rate: 6000, sent_num: 100, recv_num: 64
pkt_rate: 6000, sent_num: 100, recv_num: 39
pkt_rate: 6000, sent_num: 100, recv_num: 75
pkt_rate: 6000, sent_num: 100, recv_num: 75
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 66
pkt_rate: 6000, sent_num: 100, recv_num: 33
pkt_rate: 6000, sent_num: 100, recv_num: 41
pkt_rate: 6000, sent_num: 100, recv_num: 32
pkt_rate: 6000, sent_num: 100, recv_num: 22
pkt_rate: 6000, sent_num: 100, recv_num: 30
pkt_rate: 6000, sent_num: 100, recv_num: 25
pkt_rate: 6000, sent_num: 100, recv_num: 86
pkt_rate: 6000, sent_num: 100, recv_num: 100
pkt_rate: 6000, sent_num: 100, recv_num: 84
pkt_rate: 6000, sent_num: 100, recv_num: 97
pkt_rate: 6000, sent_num: 100, recv_num: 91
pkt_rate: 6000, sent_num: 100, recv_num: 41

80
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 94
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 87
pkt_rate: 8000 sent_num: 100 recv_num: 24
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 21
pkt_rate: 8000 sent_num: 100 recv_num: 86
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 24
pkt_rate: 8000 sent_num: 100 recv_num: 28
pkt_rate: 8000 sent_num: 100 recv_num: 26
pkt_rate: 8000 sent_num: 100 recv_num: 25
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 36
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 27
pkt_rate: 8000 sent_num: 100 recv_num: 89
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 77
pkt_rate: 8000 sent_num: 100 recv_num: 97
pkt_rate: 8000 sent_num: 100 recv_num: 20
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 92
pkt_rate: 8000 sent_num: 100 recv_num: 92
pkt_rate: 8000 sent_num: 100 recv_num: 29
pkt_rate: 8000 sent_num: 100 recv_num: 25
pkt_rate: 8000 sent_num: 100 recv_num: 26
pkt_rate: 8000 sent_num: 100 recv_num: 77
pkt_rate: 8000 sent_num: 100 recv_num: 33
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 19
pkt_rate: 8000 sent_num: 100 recv_num: 30
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 14
pkt_rate: 8000 sent_num: 100 recv_num: 100
pkt_rate: 8000 sent_num: 100 recv_num: 22
pkt_rate: 8000 sent_num: 100 recv_num: 23
pkt_rate: 8000 sent_num: 100 recv_num: 90
pkt_rate: 8000 sent_num: 100 recv_num: 100
